user_id,games,wins,win_rate,length_mean,magic_total,magic_max,cards_mean,tournaments,worlds_tours,trainings,practices,loses,prediction
219007,10,9,0.9,297.0,19,5,35.2,10,0,0,0,1,0
219011,3,3,1.0,273.3333333333333,0,0,8.333333333333334,3,0,0,0,0,0
219025,3,3,1.0,374.3333333333333,6,6,40.0,3,0,0,0,0,0
219026,13,11,0.8461538461538461,356.46153846153845,21,5,41.38461538461539,13,0,0,0,2,0
219029,3,3,1.0,608.0,0,0,21.333333333333332,3,0,0,0,0,1
219031,31,28,0.9032258064516129,170.19354838709677,26,4,41.83870967741935,31,0,0,0,3,0
219033,6,6,1.0,234.83333333333334,9,6,48.666666666666664,6,0,0,0,0,0
219047,1,0,0.0,54.0,0,0,0.0,1,0,0,0,1,0
219048,3,3,1.0,213.0,7,5,18.0,3,0,0,0,0,0
219060,62,51,0.8225806451612904,324.1774193548387,11,1,18.79032258064516,62,0,0,0,11,0
219063,12,12,1.0,161.08333333333334,15,4,41.916666666666664,12,0,0,0,0,1
219066,1,0,0.0,215.0,0,0,47.0,1,0,0,0,1,0
219067,3,3,1.0,187.0,0,0,26.0,3,0,0,0,0,0
219071,72,64,0.8888888888888888,273.125,21,4,27.01388888888889,72,0,0,0,8,0
219072,22,19,0.8636363636363636,172.5909090909091,13,5,27.772727272727273,22,0,0,0,3,0
219073,3,3,1.0,154.0,0,0,39.666666666666664,3,0,0,0,0,1
219075,4,3,0.75,230.5,10,5,34.5,4,0,0,0,1,0
219081,3,3,1.0,332.3333333333333,3,3,38.0,3,0,0,0,0,1
219084,3,3,1.0,606.0,14,10,49.333333333333336,3,0,0,0,0,1
219087,15,15,1.0,301.06666666666666,17,3,39.06666666666667,15,0,0,0,0,1
219090,20,15,0.75,190.75,21,4,30.15,20,0,0,0,5,0
219092,11,9,0.8181818181818182,220.54545454545453,10,5,43.27272727272727,11,0,0,0,2,1
219093,31,24,0.7741935483870968,225.5483870967742,23,4,30.516129032258064,31,0,0,0,7,0
219098,3,3,1.0,130.66666666666666,0,0,27.0,3,0,0,0,0,0
219100,6,5,0.8333333333333334,175.5,3,2,35.333333333333336,6,0,0,0,1,0
219108,1,0,0.0,125.0,0,0,9.0,1,0,0,0,1,1
219116,3,3,1.0,334.0,1,1,52.0,3,0,0,0,0,0
219130,2,1,0.5,130.5,0,0,26.0,2,0,0,0,1,0
219138,1,0,0.0,296.0,0,0,4.0,1,0,0,0,1,0
219144,52,42,0.8076923076923077,227.42307692307693,25,7,28.057692307692307,43,9,0,0,10,0
219151,10,9,0.9,203.0,20,5,49.1,10,0,0,0,1,0
219157,7,6,0.8571428571428571,345.42857142857144,11,4,34.857142857142854,7,0,0,0,1,0
219158,15,7,0.4666666666666667,376.8666666666667,18,7,19.2,15,0,0,0,8,0
219161,5,4,0.8,378.0,5,3,34.6,5,0,0,0,1,0
219163,2,1,0.5,156.5,0,0,6.5,2,0,0,0,1,0
219167,1,0,0.0,51.0,0,0,0.0,1,0,0,0,1,0
219170,6,6,1.0,99.66666666666667,1,1,27.666666666666668,6,0,0,0,0,0
219173,2,1,0.5,159.5,0,0,26.0,2,0,0,0,1,0
219175,3,3,1.0,227.0,0,0,37.333333333333336,3,0,0,0,0,1
219177,3,3,1.0,185.0,1,1,52.0,3,0,0,0,0,0
219179,9,9,1.0,192.11111111111111,18,6,52.0,9,0,0,0,0,0
219182,70,62,0.8857142857142857,146.14285714285714,15,3,25.571428571428573,68,2,0,0,8,0
219183,112,92,0.8214285714285714,259.79464285714283,25,5,23.696428571428573,101,11,0,0,20,0
219186,5,4,0.8,315.0,2,1,33.8,5,0,0,0,1,0
219187,6,6,1.0,195.83333333333334,20,7,40.833333333333336,6,0,0,0,0,1
219188,3,2,0.6666666666666666,218.0,0,0,40.0,3,0,0,0,1,1
219189,7,6,0.8571428571428571,148.42857142857142,20,6,29.428571428571427,7,0,0,0,1,0
219197,26,23,0.8846153846153846,167.6153846153846,6,3,28.73076923076923,14,12,0,0,3,0
219199,18,17,0.9444444444444444,253.77777777777777,21,4,37.44444444444444,18,0,0,0,1,0
219204,6,6,1.0,158.66666666666666,5,1,26.166666666666668,6,0,0,0,0,0
219205,50,43,0.86,228.08,22,6,20.08,47,3,0,0,7,0
219208,7,6,0.8571428571428571,186.28571428571428,8,3,44.57142857142857,7,0,0,0,1,0
219212,7,6,0.8571428571428571,210.14285714285714,8,5,38.0,6,0,1,0,1,0
219215,12,11,0.9166666666666666,222.83333333333334,20,5,40.75,12,0,0,0,1,0
219217,3,3,1.0,131.66666666666666,1,1,6.0,3,0,0,0,0,0
219223,11,8,0.7272727272727273,398.3636363636364,11,4,23.90909090909091,11,0,0,0,3,0
219239,2,1,0.5,283.5,0,0,2.5,2,0,0,0,1,1
219245,3,3,1.0,189.66666666666666,0,0,6.666666666666667,3,0,0,0,0,1
219257,3,2,0.6666666666666666,379.6666666666667,1,1,18.666666666666668,3,0,0,0,1,1
219259,3,3,1.0,427.6666666666667,2,2,26.0,3,0,0,0,0,1
219261,4,3,0.75,60.0,0,0,39.0,4,0,0,0,1,0
219265,1,0,0.0,59.0,0,0,0.0,1,0,0,0,1,1
219271,16,14,0.875,206.625,18,3,41.9375,16,0,0,0,2,0
219281,2,1,0.5,224.0,0,0,26.0,2,0,0,0,1,0
219282,3,3,1.0,327.6666666666667,5,4,52.0,3,0,0,0,0,1
219289,3,3,1.0,259.6666666666667,4,2,39.333333333333336,3,0,0,0,0,1
219290,9,7,0.7777777777777778,231.44444444444446,9,3,32.0,9,0,0,0,2,0
219292,3,3,1.0,227.33333333333334,9,5,52.0,3,0,0,0,0,0
219293,22,18,0.8181818181818182,235.8181818181818,10,3,36.5,22,0,0,0,4,0
219304,6,6,1.0,345.6666666666667,10,3,34.0,6,0,0,0,0,0
219307,3,3,1.0,219.33333333333334,0,0,36.333333333333336,3,0,0,0,0,0
219310,1,0,0.0,49.0,0,0,0.0,1,0,0,0,1,1
219313,6,6,1.0,279.3333333333333,8,6,52.0,6,0,0,0,0,0
219326,6,5,0.8333333333333334,134.16666666666666,3,1,21.166666666666668,6,0,0,0,1,0
219328,30,26,0.8666666666666667,225.13333333333333,22,4,36.266666666666666,18,12,0,0,4,0
219334,1,0,0.0,151.0,0,0,5.0,1,0,0,0,1,0
219336,12,11,0.9166666666666666,213.91666666666666,19,5,32.5,12,0,0,0,1,0
219338,9,7,0.7777777777777778,523.5555555555555,11,5,30.0,9,0,0,0,2,0
219344,15,15,1.0,183.13333333333333,25,6,49.8,15,0,0,0,0,0
219347,8,7,0.875,300.375,10,4,37.25,8,0,0,0,1,0
219365,3,3,1.0,199.66666666666666,0,0,52.0,3,0,0,0,0,0
219367,2,1,0.5,168.5,0,0,6.0,2,0,0,0,1,1
219369,29,28,0.9655172413793104,140.6206896551724,4,1,27.82758620689655,29,0,0,0,1,0
219371,1,0,0.0,58.0,0,0,0.0,1,0,0,0,1,1
219372,3,3,1.0,141.33333333333334,3,2,30.0,3,0,0,0,0,0
219380,3,3,1.0,293.6666666666667,2,2,11.0,3,0,0,0,0,0
219402,10,10,1.0,250.2,0,0,12.9,9,0,1,0,0,1
219413,3,3,1.0,300.3333333333333,4,2,36.0,3,0,0,0,0,0
219415,6,6,1.0,209.33333333333334,4,2,43.0,6,0,0,0,0,0
219417,3,3,1.0,144.33333333333334,0,0,35.333333333333336,3,0,0,0,0,1
219421,3,3,1.0,294.6666666666667,6,5,52.0,3,0,0,0,0,0
219426,1,0,0.0,52.0,0,0,0.0,1,0,0,0,1,0
219430,3,3,1.0,201.66666666666666,5,3,46.333333333333336,3,0,0,0,0,1
219438,5,5,1.0,320.2,14,4,39.4,5,0,0,0,0,0
219444,77,67,0.8701298701298701,215.1038961038961,19,6,26.818181818181817,77,0,0,0,10,0
219447,18,16,0.8888888888888888,205.05555555555554,20,6,31.055555555555557,18,0,0,0,2,0
219450,6,6,1.0,185.83333333333334,13,6,52.0,6,0,0,0,0,1
219456,3,3,1.0,215.66666666666666,3,1,39.666666666666664,3,0,0,0,0,0
219457,5,3,0.6,340.8,20,7,37.6,5,0,0,0,2,0
219460,3,3,1.0,207.0,2,2,40.0,3,0,0,0,0,1
219461,4,3,0.75,307.25,9,6,37.5,4,0,0,0,1,0
219472,8,7,0.875,290.75,1,1,34.875,8,0,0,0,1,0
219475,2,1,0.5,337.0,6,6,51.0,2,0,0,0,1,1
219480,2,1,0.5,208.5,3,3,12.5,2,0,0,0,1,1
219482,50,44,0.88,214.5,24,8,28.84,20,30,0,0,6,0
219484,3,1,0.3333333333333333,253.0,0,0,14.333333333333334,3,0,0,0,2,0
219490,6,6,1.0,135.33333333333334,2,2,11.0,6,0,0,0,0,0
219491,6,5,0.8333333333333334,416.8333333333333,10,3,40.0,6,0,0,0,1,0
219492,6,6,1.0,145.66666666666666,0,0,34.666666666666664,6,0,0,0,0,0
219496,3,3,1.0,150.0,1,1,52.0,3,0,0,0,0,1
219499,3,2,0.6666666666666666,643.6666666666666,0,0,18.333333333333332,3,0,0,0,1,0
219500,76,65,0.8552631578947368,250.18421052631578,18,3,23.263157894736842,76,0,0,0,11,0
219503,3,3,1.0,533.6666666666666,3,2,42.0,3,0,0,0,0,1
219508,1,0,0.0,54.0,0,0,0.0,1,0,0,0,1,0
219510,9,9,1.0,368.22222222222223,0,0,20.88888888888889,9,0,0,0,0,1
219518,3,2,0.6666666666666666,178.33333333333334,0,0,9.666666666666666,3,0,0,0,1,0
219519,3,3,1.0,191.66666666666666,10,6,46.0,3,0,0,0,0,0
219524,3,3,1.0,271.3333333333333,6,3,52.0,3,0,0,0,0,0
219525,25,24,0.96,136.0,8,2,31.84,25,0,0,0,1,0
219538,3,3,1.0,285.6666666666667,6,4,33.333333333333336,3,0,0,0,0,0
219542,5,4,0.8,264.0,11,7,44.4,5,0,0,0,1,0
219546,36,23,0.6388888888888888,186.55555555555554,11,9,7.361111111111111,36,0,0,0,13,0
219547,14,13,0.9285714285714286,253.71428571428572,20,4,46.642857142857146,14,0,0,0,1,0
219549,3,2,0.6666666666666666,397.3333333333333,1,1,28.0,3,0,0,0,1,0
219552,9,9,1.0,283.8888888888889,14,3,39.77777777777778,9,0,0,0,0,0
219553,17,10,0.5882352941176471,301.29411764705884,20,3,29.88235294117647,17,0,0,0,7,0
219556,3,3,1.0,223.0,6,4,52.0,3,0,0,0,0,0
219560,6,6,1.0,328.0,12,6,22.666666666666668,6,0,0,0,0,0
219561,16,16,1.0,100.6875,4,2,22.6875,15,0,1,0,0,0
219565,6,6,1.0,280.0,0,0,17.833333333333332,6,0,0,0,0,0
219569,3,3,1.0,490.0,0,0,23.0,3,0,0,0,0,1
219575,3,3,1.0,207.66666666666666,7,5,41.0,3,0,0,0,0,1
219602,1,0,0.0,59.0,0,0,0.0,1,0,0,0,1,1
219604,68,57,0.8382352941176471,258.30882352941177,30,5,22.58823529411765,30,38,0,0,11,0
219605,2,1,0.5,114.5,0,0,26.0,2,0,0,0,1,1
219613,5,3,0.6,393.0,4,3,31.0,5,0,0,0,2,0
219614,3,2,0.6666666666666666,519.6666666666666,5,3,40.666666666666664,3,0,0,0,1,1
219616,3,3,1.0,227.33333333333334,1,1,52.0,3,0,0,0,0,0
219619,3,3,1.0,113.0,0,0,23.0,3,0,0,0,0,0
219623,1,0,0.0,197.0,0,0,4.0,1,0,0,0,1,1
219630,3,3,1.0,234.0,20,12,42.0,3,0,0,0,0,1
219631,5,4,0.8,240.6,0,0,9.4,5,0,0,0,1,0
219632,8,7,0.875,128.875,5,3,33.0,7,0,1,0,1,0
219633,9,9,1.0,206.44444444444446,9,5,43.55555555555556,9,0,0,0,0,0
219639,5,4,0.8,307.2,5,4,20.8,5,0,0,0,1,0
219647,3,3,1.0,219.33333333333334,6,2,52.0,3,0,0,0,0,1
219648,29,27,0.9310344827586207,230.27586206896552,25,5,43.96551724137931,29,0,0,0,2,0
219652,1,0,0.0,201.0,6,6,51.0,1,0,0,0,1,0
219655,1,0,0.0,50.0,0,0,0.0,1,0,0,0,1,1
219660,3,3,1.0,147.66666666666666,1,1,26.666666666666668,3,0,0,0,0,0
219661,48,41,0.8541666666666666,311.9375,22,7,24.645833333333332,48,0,0,0,7,0
219665,3,3,1.0,201.66666666666666,3,2,24.333333333333332,3,0,0,0,0,0
219669,33,31,0.9393939393939394,185.66666666666666,24,5,35.15151515151515,33,0,0,0,2,0
219672,4,4,1.0,124.0,3,1,43.5,3,0,1,0,0,0
219673,3,3,1.0,205.66666666666666,7,3,40.0,3,0,0,0,0,1
219680,9,9,1.0,284.77777777777777,16,4,41.666666666666664,9,0,0,0,0,1
219689,1,0,0.0,322.0,0,0,4.0,1,0,0,0,1,1
219691,10,9,0.9,205.2,7,4,23.9,10,0,0,0,1,0
219698,2,0,0.0,289.0,8,8,50.5,2,0,0,0,2,1
219703,36,28,0.7777777777777778,198.61111111111111,13,2,26.63888888888889,36,0,0,0,8,1
219711,1,0,0.0,475.0,0,0,7.0,1,0,0,0,1,0
219716,22,20,0.9090909090909091,216.54545454545453,22,4,35.09090909090909,22,0,0,0,2,0
219717,3,3,1.0,168.0,0,0,29.666666666666668,3,0,0,0,0,1
219733,3,3,1.0,298.3333333333333,3,2,40.333333333333336,3,0,0,0,0,0
219738,5,4,0.8,345.2,1,1,18.0,5,0,0,0,1,0
219740,3,3,1.0,249.66666666666666,10,6,49.0,3,0,0,0,0,1
219741,7,5,0.7142857142857143,224.71428571428572,3,2,24.857142857142858,7,0,0,0,2,0
219742,40,34,0.85,293.3,24,4,27.575,40,0,0,0,6,0
219745,15,15,1.0,98.86666666666666,1,1,28.533333333333335,15,0,0,0,0,0
219747,34,28,0.8235294117647058,331.94117647058823,20,3,31.352941176470587,29,5,0,0,6,0
219751,3,3,1.0,189.0,1,1,52.0,3,0,0,0,0,1
219753,2,1,0.5,102.5,0,0,26.0,2,0,0,0,1,1
219763,19,16,0.8421052631578947,244.0,18,6,38.78947368421053,12,7,0,0,3,0
219764,32,28,0.875,269.21875,13,2,30.5625,32,0,0,0,4,0
219767,306,260,0.8496732026143791,143.0359477124183,53,4,35.68627450980392,171,135,0,0,46,0
219768,14,13,0.9285714285714286,242.28571428571428,20,8,32.285714285714285,14,0,0,0,1,0
219775,3,3,1.0,240.66666666666666,1,1,36.333333333333336,3,0,0,0,0,0
219776,3,3,1.0,349.0,7,6,28.333333333333332,3,0,0,0,0,1
219779,8,7,0.875,344.75,11,4,19.875,8,0,0,0,1,0
219781,6,6,1.0,245.16666666666666,6,2,46.666666666666664,6,0,0,0,0,0
219785,3,3,1.0,415.3333333333333,1,1,35.333333333333336,3,0,0,0,0,1
219790,6,4,0.6666666666666666,337.1666666666667,2,2,20.666666666666668,6,0,0,0,2,0
219795,33,33,1.0,146.96969696969697,23,2,39.39393939393939,33,0,0,0,0,0
219804,3,3,1.0,290.0,8,3,39.333333333333336,3,0,0,0,0,0
219810,3,3,1.0,402.3333333333333,6,4,42.333333333333336,3,0,0,0,0,1
219811,19,16,0.8421052631578947,328.4736842105263,20,4,38.21052631578947,19,0,0,0,3,0
219824,3,3,1.0,203.0,6,3,39.333333333333336,3,0,0,0,0,0
219830,3,3,1.0,252.0,10,4,40.666666666666664,3,0,0,0,0,0
219832,12,12,1.0,154.75,16,6,36.5,12,0,0,0,0,0
219834,18,17,0.9444444444444444,183.38888888888889,15,4,43.5,18,0,0,0,1,1
219835,10,4,0.4,224.5,10,4,22.3,10,0,0,0,6,0
219850,4,3,0.75,144.5,0,0,18.5,4,0,0,0,1,0
219851,14,13,0.9285714285714286,327.57142857142856,17,6,38.07142857142857,14,0,0,0,1,0
219858,2,1,0.5,269.5,3,3,34.5,2,0,0,0,1,0
219864,3,3,1.0,186.0,1,1,32.0,3,0,0,0,0,0
219865,9,8,0.8888888888888888,436.8888888888889,3,1,17.11111111111111,9,0,0,0,1,0
219866,6,6,1.0,178.66666666666666,8,4,46.833333333333336,6,0,0,0,0,0
219872,2,1,0.5,9865.0,0,0,2.0,2,0,0,0,1,0
219874,14,12,0.8571428571428571,252.35714285714286,20,3,41.0,14,0,0,0,2,0
219876,6,6,1.0,178.0,4,2,52.0,6,0,0,0,0,0
219880,17,13,0.7647058823529411,381.52941176470586,21,7,26.235294117647058,17,0,0,0,4,0
219883,4,4,1.0,380.5,1,1,16.75,4,0,0,0,0,0
